abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_egg_steps;base_happiness;base_total;capture_rate;defense;experience_growth;height_m;hp;name;percentage_male;pokedex_number;sp_attack;sp_defense;speed;type1;type2;weight_kg;generation;is_legendary
['Shed Skin'];1;1;1;1;1;5;2;2;1;5;5;1;1;1;1;2;1;1;20;3840;70;205;120;55;1000000;7;50;Metapod;50;11;25;25;30;bug;;99;1;0
['Compoundeyes', 'Tinted Lens'];5;1;1;2;1;25;2;2;1;25;0;2;1;1;1;4;1;1;45;3840;70;395;45;50;1000000;11;60;Butterfree;50;12;90;80;70;bug;flying;320;1;0
['Shield Dust', 'Run Away'];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;35;3840;70;195;255;30;1000000;3;40;Weedle;50;13;20;20;50;bug;poison;32;1;0
['Shed Skin'];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;25;3840;70;205;120;50;1000000;6;45;Kakuna;50;14;25;25;35;bug;poison;100;1;0
['Swarm', 'Sniper'];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;150;3840;70;495;45;40;1000000;10;65;Beedrill;50;15;15;80;145;bug;poison;295;1;0
['Keen Eye', 'Tangled Feet', 'Big Pecks'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;45;3840;70;251;255;40;1059860;3;40;Pidgey;50;16;35;35;56;normal;flying;18;1;0
['Keen Eye', 'Tangled Feet', 'Big Pecks'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;60;3840;70;349;120;55;1059860;11;63;Pidgeotto;50;17;50;50;71;normal;flying;300;1;0
['Keen Eye', 'Tangled Feet', 'Big Pecks'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;80;3840;70;579;45;80;1059860;15;83;Pidgeot;50;18;135;80;121;normal;flying;395;1;0
['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;56;3840;70;253;255;35;1000000;;30;Rattata;50;19;25;35;72;normal;dark;;1;0
['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;71;3840;70;413;127;70;1000000;;75;Raticate;50;20;40;80;77;normal;dark;;1;0
['Keen Eye', 'Sniper'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;60;3840;70;262;255;30;1000000;3;40;Spearow;50;21;31;31;70;normal;flying;20;1;0
['Keen Eye', 'Sniper'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;90;3840;70;442;90;65;1000000;12;65;Fearow;50;22;61;61;100;normal;flying;380;1;0
['Intimidate', 'Shed Skin', 'Unnerve'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;60;5120;70;288;255;44;1000000;20;35;Ekans;50;23;40;54;55;poison;;69;1;0
['Intimidate', 'Shed Skin', 'Unnerve'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;95;5120;70;448;90;69;1000000;35;60;Arbok;50;24;65;79;80;poison;;650;1;0
['Static', 'Lightningrod'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;55;2560;70;320;190;40;1000000;4;35;Pikachu;50;25;50;50;90;electric;;60;1;0
['Static', 'Lightningrod', 'Surge Surfer'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;85;2560;70;485;75;50;1000000;;60;Raichu;50;26;95;85;110;electric;electric;;1;0
['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;75;5120;70;300;255;90;1000000;;50;Sandshrew;50;27;10;35;40;ground;ice;;1;0
['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;100;5120;70;450;90;120;1000000;;75;Sandslash;50;28;25;65;65;ground;ice;;1;0
['Poison Point', 'Rivalry', 'Hustle'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;47;5120;70;275;235;52;1059860;4;55;Nidoran‰ªÛ;0;29;40;40;41;poison;;70;1;0
['Poison Point', 'Rivalry', 'Hustle'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;62;5120;70;365;120;67;1059860;8;70;Nidorina;0;30;55;55;56;poison;;200;1;0
['Poison Point', 'Rivalry', 'Sheer Force'];5;1;1;0;5;5;1;1;1;1;2;2;1;25;2;5;1;2;92;5120;70;505;45;87;1059860;13;90;Nidoqueen;0;31;75;85;76;poison;ground;600;1;0
['Poison Point', 'Rivalry', 'Hustle'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;57;5120;70;273;235;40;1059860;5;46;Nidoran‰ªâ;100;32;40;40;50;poison;;90;1;0
['Poison Point', 'Rivalry', 'Hustle'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;72;5120;70;365;120;57;1059860;9;61;Nidorino;100;33;55;55;65;poison;;195;1;0
['Poison Point', 'Rivalry', 'Sheer Force'];5;1;1;0;5;5;1;1;1;1;2;2;1;25;2;5;1;2;102;5120;70;505;45;77;1059860;14;81;Nidoking;100;34;85;75;85;poison;ground;620;1;0
['Cute Charm', 'Magic Guard', 'Friend Guard'];5;5;0;1;1;5;1;1;1;1;1;1;1;2;1;1;2;1;45;2560;140;323;150;48;800000;6;70;Clefairy;246;35;60;65;35;fairy;;75;1;0
['Cute Charm', 'Magic Guard', 'Unaware'];5;5;0;1;1;5;1;1;1;1;1;1;1;2;1;1;2;1;70;2560;140;483;25;73;800000;13;95;Clefable;246;36;95;90;60;fairy;;400;1;0
['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;41;5120;70;299;190;40;1000000;;38;Vulpix;246;37;50;65;65;fire;ice;;1;0
['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;67;5120;70;505;75;75;1000000;;73;Ninetales;246;38;81;100;109;fire;ice;;1;0
['Cute Charm', 'Competitive', 'Friend Guard'];5;5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;45;2560;70;270;170;20;800000;5;115;Jigglypuff;246;39;45;25;20;normal;fairy;55;1;0
['Cute Charm', 'Competitive', 'Frisk'];5;5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;70;2560;70;435;50;45;800000;10;140;Wigglytuff;246;40;85;50;45;normal;fairy;120;1;0
['Inner Focus', 'Infiltrator'];25;1;1;2;5;25;1;1;1;25;0;2;1;5;2;2;1;1;45;3840;70;245;255;35;1000000;8;40;Zubat;50;41;30;40;55;poison;flying;75;1;0
['Inner Focus', 'Infiltrator'];25;1;1;2;5;25;1;1;1;25;0;2;1;5;2;2;1;1;80;3840;70;455;90;70;1000000;16;75;Golbat;50;42;65;75;90;poison;flying;550;1;0
['Chlorophyll', 'Run Away'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;50;5120;70;320;255;55;1059860;5;45;Oddish;50;43;75;65;30;grass;poison;54;1;0
['Chlorophyll', 'Stench'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;65;5120;70;395;120;70;1059860;8;60;Gloom;50;44;85;75;40;grass;poison;86;1;0
['Chlorophyll', 'Effect Spore'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;80;5120;70;490;45;85;1059860;12;75;Vileplume;50;45;110;90;50;grass;poison;186;1;0
['Effect Spore', 'Dry Skin', 'Damp'];2;1;1;5;1;5;4;4;1;25;25;2;1;2;1;2;1;5;70;5120;70;285;190;55;1000000;3;35;Paras;50;46;45;55;25;bug;grass;54;1;0
['Effect Spore', 'Dry Skin', 'Damp'];2;1;1;5;1;5;4;4;1;25;25;2;1;2;1;2;1;5;95;5120;70;405;75;80;1000000;10;60;Parasect;50;47;60;80;30;bug;grass;295;1;0
['Compoundeyes', 'Tinted Lens', 'Run Away'];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;55;5120;70;305;190;50;1000000;10;60;Venonat;50;48;40;55;45;bug;poison;300;1;0
['Shield Dust', 'Tinted Lens', 'Wonder Skin '];5;1;1;1;5;25;2;2;1;25;1;1;1;5;2;2;1;1;65;5120;70;450;75;60;1000000;15;70;Venomoth;50;49;90;75;90;bug;poison;125;1;0
['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;55;5120;70;265;255;30;1000000;;10;Diglett;50;50;35;45;90;ground;ground;;1;0
['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;100;5120;70;425;50;60;1000000;;35;Dugtrio;50;51;50;70;110;ground;ground;;1;0
['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;35;5120;70;290;255;35;1000000;;40;Meowth;50;52;50;40;90;normal;dark;;1;0
['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;5120;70;440;90;60;1000000;;65;Persian;50;53;75;65;115;normal;dark;;1;0
['Damp', 'Cloud Nine', 'Swift Swim'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;52;5120;70;320;190;48;1000000;8;50;Psyduck;50;54;65;50;55;water;;196;1;0
['Damp', 'Cloud Nine', 'Swift Swim'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;82;5120;70;500;75;78;1000000;17;80;Golduck;50;55;95;80;85;water;;766;1;0
['Vital Spirit', 'Anger Point', 'Defiant'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;80;5120;70;305;190;35;1000000;5;40;Mankey;50;56;35;45;70;fighting;;280;1;0
['Vital Spirit', 'Anger Point', 'Defiant'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;105;5120;70;455;75;60;1000000;10;65;Primeape;50;57;60;70;95;fighting;;320;1;0
['Intimidate', 'Flash Fire', 'Justified'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;70;5120;70;350;190;45;1250000;7;55;Growlithe;754;58;70;50;60;fire;;190;1;0
['Intimidate', 'Flash Fire', 'Justified'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;110;5120;70;555;75;80;1250000;19;90;Arcanine;754;59;100;80;95;fire;;1550;1;0
['Water Absorb', 'Damp', 'Swift Swim'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;50;5120;70;300;255;40;1059860;6;40;Poliwag;50;60;40;40;90;water;;124;1;0
['Water Absorb', 'Damp', 'Swift Swim'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;65;5120;70;385;120;65;1059860;10;65;Poliwhirl;50;61;50;50;90;water;;200;1;0
['Water Absorb', 'Damp', 'Swift Swim'];5;5;1;2;2;1;5;2;1;2;1;5;1;1;2;5;5;5;95;5120;70;510;45;95;1059860;13;90;Poliwrath;50;62;70;90;70;water;fighting;540;1;0
['Synchronize', 'Inner Focus', 'Magic Guard'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;20;5120;70;310;200;15;1059860;9;25;Abra;754;63;105;55;90;psychic;;195;1;0
['Synchronize', 'Inner Focus', 'Magic Guard'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;35;5120;70;400;100;30;1059860;13;40;Kadabra;754;64;120;70;105;psychic;;565;1;0
['Synchronize', 'Inner Focus', 'Magic Guard'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;50;5120;70;600;50;65;1059860;15;55;Alakazam;754;65;175;105;150;psychic;;480;1;0
['Guts', 'No Guard', 'Steadfast'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;80;5120;70;305;180;50;1059860;8;70;Machop;754;66;35;35;35;fighting;;195;1;0
['Guts', 'No Guard', 'Steadfast'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;100;5120;70;405;90;70;1059860;15;80;Machoke;754;67;50;60;45;fighting;;705;1;0
['Guts', 'No Guard', 'Steadfast'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;130;5120;70;505;45;80;1059860;16;90;Machamp;754;68;65;85;55;fighting;;1300;1;0
['Chlorophyll', 'Gluttony'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;75;5120;70;300;255;35;1059860;7;50;Bellsprout;50;69;70;30;40;grass;poison;40;1;0
['Chlorophyll', 'Gluttony'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;90;5120;70;390;120;50;1059860;10;65;Weepinbell;50;70;85;45;55;grass;poison;64;1;0
['Chlorophyll', 'Gluttony'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;105;5120;70;490;45;65;1059860;17;80;Victreebel;50;71;100;70;70;grass;poison;155;1;0
['Clear Body', 'Liquid Ooze', 'Rain Dish'];5;1;1;2;5;5;5;1;1;1;2;5;1;5;2;1;5;5;40;5120;70;335;190;35;1250000;9;40;Tentacool;50;72;50;100;70;water;poison;455;1;0
['Clear Body', 'Liquid Ooze', 'Rain Dish'];5;1;1;2;5;5;5;1;1;1;2;5;1;5;2;1;5;5;70;5120;70;515;60;65;1250000;16;80;Tentacruel;50;73;80;120;100;water;poison;550;1;0
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;80;3840;70;300;255;100;1059860;;40;Geodude;50;74;30;30;20;rock;ground;;1;0
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;95;3840;70;390;120;115;1059860;;55;Graveler;50;75;45;45;35;rock;ground;;1;0
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;120;3840;70;495;45;130;1059860;;80;Golem;50;76;55;65;45;rock;ground;;1;0
['Run Away', 'Flash Fire', 'Flame Body'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;85;5120;70;410;190;55;1000000;10;50;Ponyta;50;77;65;65;90;fire;;300;1;0
['Run Away', 'Flash Fire', 'Flame Body'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;100;5120;70;500;60;70;1000000;17;65;Rapidash;50;78;80;80;105;fire;;950;1;0
['Oblivious', 'Own Tempo', 'Regenerator'];2;2;1;2;1;5;5;1;2;2;1;5;1;1;5;1;5;5;65;5120;70;315;190;65;1000000;12;90;Slowpoke;50;79;40;40;15;water;psychic;360;1;0
['Oblivious', 'Own Tempo', 'Regenerator'];2;2;1;2;1;5;5;1;2;2;1;5;1;1;5;1;5;5;75;5120;70;590;75;180;1000000;16;95;Slowbro;50;80;130;80;30;water;psychic;785;1;0
['Magnet Pull', 'Sturdy', 'Analytic'];5;1;5;5;5;2;2;25;1;5;4;5;5;0;5;5;25;1;35;5120;70;325;190;70;1000000;3;25;Magnemite;;81;95;55;45;electric;steel;60;1;0
['Magnet Pull', 'Sturdy', 'Analytic'];5;1;5;5;5;2;2;25;1;5;4;5;5;0;5;5;25;1;60;5120;70;465;60;95;1000000;10;50;Magneton;;82;120;70;70;electric;steel;600;1;0
['Keen Eye', 'Inner Focus', 'Defiant'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;90;5120;70;377;45;55;1000000;8;52;Farfetch'd;50;83;58;62;60;normal;flying;150;1;0
['Run Away', 'Early Bird', 'Tangled Feet'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;85;5120;70;310;190;45;1000000;14;35;Doduo;50;84;35;35;75;normal;flying;392;1;0
['Run Away', 'Early Bird', 'Tangled Feet'];5;1;1;2;1;1;1;1;0;5;0;2;1;1;1;2;1;1;110;5120;70;470;45;70;1000000;18;60;Dodrio;50;85;60;60;110;normal;flying;852;1;0
['Thick Fat', 'Hydration', 'Ice Body'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;45;5120;70;325;190;55;1000000;11;65;Seel;50;86;45;70;45;water;;900;1;0
['Thick Fat', 'Hydration', 'Ice Body'];1;1;1;2;1;2;1;1;1;2;1;25;1;1;1;2;1;5;70;5120;70;475;75;80;1000000;17;90;Dewgong;50;87;70;95;70;water;ice;1200;1;0
['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;80;5120;70;325;190;50;1000000;;80;Grimer;50;88;40;50;25;poison;poison;;1;0
['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;105;5120;70;500;75;75;1000000;;105;Muk;50;89;65;100;50;poison;poison;;1;0
['Shell Armor', 'Skill Link', 'Overcoat'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;65;5120;70;305;190;100;1250000;3;30;Shellder;50;90;45;25;40;water;;40;1;0
['Shell Armor', 'Skill Link', 'Overcoat'];1;1;1;2;1;2;1;1;1;2;1;25;1;1;1;2;1;5;95;5120;70;525;60;180;1250000;15;50;Cloyster;50;91;85;45;70;water;ice;1325;1;0
['Levitate'];25;2;1;1;5;0;1;1;2;5;2;1;0;25;2;1;1;1;35;5120;70;310;190;30;1059860;13;30;Gastly;50;92;100;35;80;ghost;poison;1;1;0
['Levitate'];25;2;1;1;5;0;1;1;2;5;2;1;0;25;2;1;1;1;50;5120;70;405;90;45;1059860;16;45;Haunter;50;93;115;55;95;ghost;poison;1;1;0
['Cursed Body'];25;2;1;1;5;0;1;1;2;5;2;1;0;25;2;1;1;1;65;5120;70;600;45;80;1059860;15;60;Gengar;50;94;170;95;130;ghost;poison;405;1;0
['Rock Head', 'Sturdy', 'Weak Armor'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;45;6400;70;385;45;160;1000000;88;35;Onix;50;95;30;45;70;rock;ground;2100;1;0
['Insomnia', 'Forewarn', 'Inner Focus'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;48;5120;70;328;190;45;1000000;10;60;Drowzee;50;96;43;90;42;psychic;;324;1;0
['Insomnia', 'Forewarn', 'Inner Focus'];2;2;1;1;1;5;1;1;2;1;1;1;1;1;5;1;1;1;73;5120;70;483;75;70;1000000;16;85;Hypno;50;97;73;115;67;psychic;;756;1;0
['Hyper Cutter', 'Shell Armor', 'Sheer Force'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;105;5120;70;325;225;90;1000000;4;30;Krabby;50;98;25;25;50;water;;65;1;0
['Hyper Cutter', 'Shell Armor', 'Sheer Force'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;130;5120;70;475;60;115;1000000;13;55;Kingler;50;99;50;50;75;water;;600;1;0
['Soundproof', 'Static', 'Aftermath'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;30;5120;70;330;190;50;1000000;5;40;Voltorb;;100;55;55;100;electric;;104;1;0
['Soundproof', 'Static', 'Aftermath'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;50;5120;70;490;60;70;1000000;12;60;Electrode;;101;80;80;150;electric;;666;1;0
['Chlorophyll', 'Harvest'];4;2;1;5;1;5;2;2;2;5;5;2;1;2;5;1;1;5;40;5120;70;325;90;80;1250000;4;60;Exeggcute;50;102;60;45;40;grass;psychic;25;1;0
['Chlorophyll', 'Harvest', 'Frisk', 'Harvest'];4;2;1;5;1;5;2;2;2;5;5;2;1;2;5;1;1;5;105;5120;70;530;45;85;1250000;;95;Exeggutor;50;103;125;75;45;grass;psychic;;1;0
['Rock Head', 'Lightningrod', 'Battle Armor'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;50;5120;70;320;190;95;1000000;4;50;Cubone;50;104;40;50;35;ground;;65;1;0
['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head'];1;1;1;0;1;1;1;1;1;2;1;2;1;5;1;5;1;2;80;5120;70;425;75;110;1000000;;60;Marowak;50;105;50;80;45;ground;fire;;1;0
['Limber', 'Reckless', 'Unburden'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;120;6400;70;455;45;53;1000000;15;50;Hitmonlee;100;106;35;110;87;fighting;;498;1;0
['Keen Eye', 'Iron Fist', 'Inner Focus'];5;5;1;1;2;1;1;2;1;1;1;1;1;1;2;5;1;1;105;6400;70;455;45;79;1000000;14;50;Hitmonchan;100;107;35;110;76;fighting;;502;1;0
['Own Tempo', 'Oblivious', 'Cloud Nine'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;55;5120;70;385;45;75;1000000;12;90;Lickitung;50;108;60;75;30;normal;;655;1;0
['Levitate'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;65;5120;70;340;190;95;1000000;6;40;Koffing;50;109;60;45;35;poison;;10;1;0
['Levitate'];5;1;1;1;5;5;1;1;1;5;2;1;1;5;2;1;1;1;90;5120;70;490;60;120;1000000;12;65;Weezing;50;110;85;70;60;poison;;95;1;0
['Lightningrod', 'Rock Head', 'Reckless'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;85;5120;70;345;120;95;1250000;10;80;Rhyhorn;50;111;30;30;25;ground;rock;1150;1;0
['Lightningrod', 'Rock Head', 'Reckless'];1;1;1;0;1;2;5;5;1;4;2;2;5;25;1;5;2;4;130;5120;70;485;60;120;1250000;19;105;Rhydon;50;112;45;45;40;ground;rock;1200;1;0
['Natural Cure', 'Serene Grace', 'Healer'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;5;10240;140;450;30;5;800000;11;250;Chansey;0;113;35;105;50;normal;;346;1;0
['Chlorophyll', 'Leaf Guard', 'Regenerator'];2;1;1;5;1;1;2;2;1;5;5;2;1;2;1;1;1;5;55;5120;70;435;45;115;1000000;10;65;Tangela;50;114;100;40;60;grass;;350;1;0
['Early Bird', 'Scrappy', 'Inner Focus'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;125;5120;70;590;45;100;1000000;22;105;Kangaskhan;0;115;60;100;100;normal;;800;1;0
['Swift Swim', 'Sniper', 'Damp'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;40;5120;70;295;225;70;1000000;4;30;Horsea;50;116;70;25;60;water;;80;1;0
['Poison Point', 'Sniper', 'Damp'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;65;5120;70;440;75;95;1000000;12;55;Seadra;50;117;95;45;85;water;;250;1;0
['Swift Swim', 'Water Veil', 'Lightningrod'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;67;5120;70;320;225;60;1000000;6;45;Goldeen;50;118;35;50;63;water;;150;1;0
['Swift Swim', 'Water Veil', 'Lightningrod'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;92;5120;70;450;60;65;1000000;13;80;Seaking;50;119;65;80;68;water;;390;1;0
['Illuminate', 'Natural Cure', 'Analytic'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;45;5120;70;340;225;55;1250000;8;30;Staryu;;120;70;55;85;water;;345;1;0
['Illuminate', 'Natural Cure', 'Analytic'];2;2;1;2;1;5;5;1;2;2;1;5;1;1;5;1;5;5;75;5120;70;520;60;85;1250000;11;60;Starmie;;121;100;85;115;water;psychic;800;1;0
['Soundproof', 'Filter', 'Technician'];1;1;0;1;1;25;1;1;2;1;1;1;1;2;5;1;2;1;45;6400;70;460;45;65;1000000;13;40;Mr. Mime;50;122;100;120;90;psychic;fairy;545;1;0
['Swarm', 'Technician', 'Steadfast'];5;1;1;2;1;25;2;2;1;25;0;2;1;1;1;4;1;1;110;6400;70;500;45;80;1000000;15;70;Scyther;50;123;55;80;105;bug;flying;560;1;0
['Oblivious', 'Forewarn', 'Dry Skin'];2;2;1;1;1;1;2;1;2;1;1;5;1;1;5;2;2;1;50;6400;70;455;45;35;1000000;14;65;Jynx;0;124;115;95;95;ice;psychic;406;1;0
['Static', 'Vital Spirit'];1;1;1;5;1;1;1;5;1;1;2;1;1;1;1;1;5;1;83;6400;70;490;45;57;1000000;11;65;Electabuzz;754;125;95;85;105;electric;;300;1;0
