id;name;classification;rank;generation;regional_variant;form_variant;gmax;stage;height;weight;evolves_from;type1;type2;hp;atk;def;spatk;spdef;speed;abilities;desc
26;raichu;Mouse Pokémon;ordinary;generation-vi;alolan;;;final;8;210;raichu;electric;psychic;60;85;50;95;85;110;surge-surfer;It only evolves to this form in the Alola region. According to researchers, its diet is one of the causes of this change. It loves pancakes prepared with a secret Alolan recipe. Some wonder whether that recipe holds the key to this Pokémon’s evolution.
26;raichu;Mouse Pokémon;ordinary;generation-i;;;;final;8;300;pikachu;electric;none;60;90;55;90;80;110;static lightning-rod;Its long tail serves as a ground to protect itself from its own high-voltage power.
27;sandshrew;Mouse Pokémon;ordinary;generation-vi;alolan;;;one;7;120;nothing;ice;steel;50;75;90;10;35;40;snow-cloak slush-rush;An ancient tradition of Alolan festivals, still carried on to this day, is a competition to slide Sandshrew across ice as far as one can. No matter how high a place it falls from, this Pokémon can save itself by rolling into a ball and bouncing.
27;sandshrew;Mouse Pokémon;ordinary;generation-i;;;;one;6;120;nothing;ground;none;50;75;85;20;30;40;sand-veil sand-rush;Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28;sandslash;Mouse Pokémon;ordinary;generation-vi;alolan;;;final;12;550;sandshrew;ice;steel;75;100;120;25;65;65;snow-cloak slush-rush;A long, long time ago, it lived in the desert. With its sharp claws fully extended, it can run right up an iceberg without slipping. This Pokémon's steel spikes are sheathed in ice. Stabs from these spikes cause deep wounds and severe frostbite as well.
28;sandslash;Mouse Pokémon;ordinary;generation-i;;;;final;10;295;sandshrew;ground;none;75;100;110;45;55;65;sand-veil sand-rush;Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29;nidoran-f;Poison Pin Pokémon;ordinary;generation-i;;;;one;4;70;nothing;poison;none;55;47;52;40;40;41;poison-point rivalry hustle;Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.
30;nidorina;Poison Pin Pokémon;ordinary;generation-i;;;;two;8;200;nidoran-f;poison;none;70;62;67;55;55;56;poison-point rivalry hustle;The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31;nidoqueen;Drill Pokémon;ordinary;generation-i;;;;final;13;600;nidorina;poison;ground;90;92;87;75;85;76;poison-point rivalry sheer-force;Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32;nidoran-m;Poison Pin Pokémon;ordinary;generation-i;;;;one;5;90;nothing;poison;none;46;57;40;40;40;50;poison-point rivalry hustle;Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.
33;nidorino;Poison Pin Pokémon;ordinary;generation-i;;;;two;9;195;nidoran-m;poison;none;61;72;57;55;55;65;poison-point rivalry hustle;An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34;nidoking;Drill Pokémon;ordinary;generation-i;;;;final;14;620;nidorino;poison;ground;81;102;77;85;75;85;poison-point rivalry sheer-force;It uses its powerful tail in battle to smash, constrict, then break the prey's bones.
35;clefairy;Fairy Pokémon;ordinary;generation-i;;;;two;6;75;cleffa;fairy;none;70;45;48;60;65;35;cute-charm magic-guard friend-guard;Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36;clefable;Fairy Pokémon;ordinary;generation-i;;;;one;13;400;clefairy;fairy;none;95;70;73;95;90;60;cute-charm magic-guard unaware;A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37;vulpix;Fox Pokémon;ordinary;generation-i;;;;one;6;99;nothing;fire;none;38;41;40;50;65;65;flash-fire drought;At the time of birth, it has just one tail. The tail splits from its tip as it grows older.
37;vulpix;Fox Pokémon;ordinary;generation-vi;alolan;;;one;6;99;nothing;ice;none;38;41;40;50;65;65;snow-cloak snow-warning;In hot weather, this Pokémon makes ice shards with its six tails and sprays them around to cool itself off. They live together in a skulk, helping one another. Before eating their prey, they freeze it solid with their –58 degree Fahrenheit breath.
38;ninetales;Fox Pokémon;ordinary;generation-vi;alolan;;;final;11;199;vulpix;ice;fairy;73;67;75;81;100;109;snow-cloak snow-warning;They live together in a skulk, helping one another. Before eating their prey, they freeze it solid with their –58 degree Fahrenheit breath. Some said that deities visited mountains where Ninetales live, so in times long past, no one was allowed to go into those mountains.
38;ninetales;Fox Pokémon;ordinary;generation-i;;;;final;11;199;vulpix;fire;none;73;76;75;81;100;100;flash-fire drought;Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39;jigglypuff;Balloon Pokémon;ordinary;generation-i;;;;two;5;55;igglybuff;normal;fairy;115;45;20;45;25;20;cute-charm competitive friend-guard;When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.
40;wigglytuff;Balloon Pokémon;ordinary;generation-i;;;;final;10;120;jigglypuff;normal;fairy;140;70;45;85;50;45;cute-charm competitive frisk;The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.
41;zubat;Bat Pokémon;ordinary;generation-i;;;;one;8;75;nothing;poison;flying;40;45;35;30;40;55;inner-focus infiltrator;Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42;golbat;Bat Pokémon;ordinary;generation-i;;;;two;16;550;zubat;poison;flying;75;80;70;65;75;90;inner-focus infiltrator;Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.
43;oddish;Weed Pokémon;ordinary;generation-i;;;;one;5;54;nothing;grass;poison;45;50;55;75;65;30;chlorophyll run-away;During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.
44;gloom;Weed Pokémon;ordinary;generation-i;;;;two;8;86;oddish;grass;poison;60;65;70;85;75;40;chlorophyll stench;The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45;vileplume;Flower Pokémon;ordinary;generation-i;;;;final;12;186;gloom;grass;poison;75;80;85;110;90;50;chlorophyll effect-spore;It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.
46;paras;Mushroom Pokémon;ordinary;generation-i;;;;one;3;54;nothing;bug;grass;35;70;55;45;55;25;effect-spore dry-skin damp;Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
47;parasect;Mushroom Pokémon;ordinary;generation-i;;;;final;10;295;paras;bug;grass;60;95;80;60;80;30;effect-spore dry-skin damp;A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48;venonat;Insect Pokémon;ordinary;generation-i;;;;one;10;300;nothing;bug;poison;60;55;50;40;55;45;compound-eyes tinted-lens run-away;Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49;venomoth;Poison Moth Pokémon;ordinary;generation-i;;;;final;15;125;venonat;bug;poison;70;65;60;90;75;90;shield-dust tinted-lens wonder-skin;The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.
50;diglett;Mole Pokémon;ordinary;generation-vii;alolan;;;one;2;10;ground;ground;steel;10;55;30;35;45;90;sand-veil tangling-hair sand-force;It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest. Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them.
50;diglett;Mole Pokémon;ordinary;generation-i;;;;one;2;8;nothing;ground;none;10;55;25;35;45;95;sand-veil arena-trap sand-force;Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51;dugtrio;Mole Pokémon;ordinary;generation-i;;;;final;7;333;diglett;ground;none;35;100;50;50;70;120;sand-veil arena-trap sand-force;A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
51;dugtrio;Mole Pokémon;ordinary;generation-vii;alolan;;;final;7;666;diglett;ground;steel;35;100;50;50;70;120;sand-veil tangling-hair sand-force;They’re referred to as triplets, but they’re not identical—the metallic elements in their bodies differ slightly. The proof shows in their whiskers! Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground. This set of triplets moves cooperatively. It’s the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.
52;meowth;Scratch Cat Pokémon;ordinary;generation-ix;galarian;;;one;4;42;nothing;steel;none;50;65;55;40;40;40;pickup tough-claws unnerve;All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow. It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines, too.
52;meowth;Scratch Cat Pokémon;ordinary;generation-vii;alolan;;;one;4;42;nothing;dark;none;40;35;35;50;40;90;pickup technician rattled;Appears to be more active at night. It loves round and shiny things. It can’t stop itself from picking them up. It loves coins, so if you give it one, you can make friends with Meowth easily. But it’s fickle, so you can’t count on that friendship lasting. This Pokémon was not originally found in Alola. Human actions caused a surge in their numbers, and they went feral. They’re prideful and crafty.
52;meowth;Scratch Cat Pokémon;ordinary;generation-i;;;;one;4;42;nothing;normal;none;40;45;35;40;40;90;pickup technician unnerve;It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
52;meowth;Scratch Cat Pokémon;ordinary;generation-viii;;;TRUE;one;4;100000;nothing;normal;none;40;45;35;40;40;90;pickup technician unnerve;It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
53;persian;Classy Cat Pokémon;ordinary;generation-i;;;;final;10;320;meowth;normal;none;65;70;60;65;65;115;limber technician unnerve;Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.
53;persian;Classy Cat Pokémon;ordinary;generation-vii;alolan;;;final;11;330;meowth;dark;none;65;60;60;75;65;115;fur-coat technician rattled;It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon. Its round face and smooth coat—softer than the most high-class velvet—have made this a very popular Pokémon in Alola. The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.
54;psyduck;Duck Pokémon;ordinary;generation-i;;;;one;8;196;nothing;water;none;50;52;48;65;50;55;damp cloud-nine swift-swim;While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.
55;golduck;Duck Pokémon;ordinary;generation-i;;;;final;17;766;psyduck;water;none;80;82;78;95;80;85;damp cloud-nine swift-swim;Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.
56;mankey;Pig Monkey Pokémon;ordinary;generation-i;;;;one;5;280;nothing;fighting;none;40;80;35;35;45;70;vital-spirit anger-point defiant;Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57;primeape;Pig Monkey Pokémon;ordinary;generation-i;;;;two;10;320;mankey;fighting;none;65;105;60;60;70;95;vital-spirit anger-point defiant;Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58;growlithe;Scout Pokemon;ordinary;generation-viii;hisuian;;;one;55;227;nothing;fire;rock;60;75;45;65;50;55;intimidate flash-fire justified;It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes. It's very friendly and faithful to people. It will try to repel enemies by barking and biting.
58;growlithe;Puppy Pokémon;ordinary;generation-i;;;;one;7;190;nothing;fire;none;55;70;45;70;50;60;intimidate flash-fire justified;Very protective of its territory. It will bark and bite to repel intruders from its space.
59;arcanine;Legendary Pokémon;ordinary;generation-i;;;;final;19;1550;growlithe;fire;none;90;110;80;100;80;95;intimidate flash-fire justified;A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
59;arcanine;Legendary Pokémon;ordinary;generation-viii;hisuian;;;final;20;1680;growlithe;fire;rock;90;110;80;95;80;90;intimidate flash-fire justified;An ancient picture scroll shows that people were captivated by its movement as it ran through prairies. Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.
60;poliwag;Tadpole Pokémon;ordinary;generation-i;;;;one;6;124;nothing;water;none;40;50;40;40;40;90;water-absorb damp swift-swim;Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61;poliwhirl;Tadpole Pokémon;ordinary;generation-i;;;;two;10;200;poliwag;water;none;65;65;65;50;50;90;water-absorb damp swift-swim;Capable of living in or out of water. When out of water, it sweats to keep its body slimy.
62;poliwrath;Tadpole Pokémon;ordinary;generation-i;;;;final;13;540;poliwhirl;water;fighting;90;95;95;70;90;70;water-absorb damp swift-swim;An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63;abra;Psi Pokémon;ordinary;generation-i;;;;one;9;195;nothing;psychic;none;25;20;15;105;55;90;synchronize inner-focus magic-guard;Using its ability to read minds, it will identify impending danger and TELEPORT to safety.
64;kadabra;Psi Pokémon;ordinary;generation-i;;;;two;13;565;abra;psychic;none;40;35;30;120;70;105;synchronize inner-focus magic-guard;It emits special alpha waves from its body that induce headaches just by being close by.
65;alakazam;Psi Pokémon;mega-evolution;generation-vi;;;;final;12;480;alakazam;psychic;none;55;50;65;175;95;150;trace;Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.
65;alakazam;Psi Pokémon;ordinary;generation-i;;;;final;15;480;kadabra;psychic;none;55;50;45;135;95;120;synchronize inner-focus magic-guard;Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.
66;machop;Superpower Pokémon;ordinary;generation-i;;;;one;8;195;nothing;fighting;none;70;80;50;35;35;35;guts no-guard steadfast;Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67;machoke;Superpower Pokémon;ordinary;generation-i;;;;two;15;705;machop;fighting;none;80;100;70;50;60;45;guts no-guard steadfast;Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.
68;machamp;Superpower Pokémon;ordinary;generation-i;;;;final;16;1300;machoke;fighting;none;90;130;80;65;85;55;guts no-guard steadfast;Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.
68;machamp;Superpower Pokémon;ordinary;generation-viii;;;;final;16;10000;machoke;fighting;none;90;130;80;65;85;55;guts no-guard steadfast;Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.
69;bellsprout;Flower Pokémon;ordinary;generation-i;;;;one;7;40;nothing;grass;poison;50;75;35;70;30;40;chlorophyll gluttony;A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70;weepinbell;Flycatcher Pokémon;ordinary;generation-i;;;;two;10;64;bellsprout;grass;poison;65;90;50;85;45;55;chlorophyll gluttony;It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71;victreebel;Flycatcher Pokémon;ordinary;generation-i;;;;final;17;155;weepinbell;grass;poison;80;105;65;100;70;70;chlorophyll gluttony;Said to live in huge colonies deep in jungles, although no one has ever returned from there.
72;tentacool;Jellyfish Pokémon;ordinary;generation-i;;;;one;9;455;nothing;water;poison;40;40;35;50;100;70;clear-body liquid-ooze rain-dish;Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73;tentacruel;Jellyfish Pokémon;ordinary;generation-i;;;;final;16;550;tentacool;water;poison;80;70;65;80;120;100;clear-body liquid-ooze rain-dish;The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.
74;geodude;Rock Pokémon;ordinary;generation-i;;;;one;4;200;nothing;rock;ground;40;80;100;30;30;20;rock-head sturdy sand-veil;Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.
74;geodude;Rock Pokémon;ordinary;generation-vi;alolan;;;one;4;203;nothing;rock;eletric;40;80;100;30;30;20;magnet-pull sturdy galvanize;Its round body makes it easy to pick up, but it is hard and heavy. It’s dangerous to play with them as if they were snowballs. Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.
75;graveler;Rock Pokémon;ordinary;generation-vi;alolan;;;two;10;1100;geodude;rock;eletric;55;95;115;45;45;35;magnet-pull sturdy galvanize;Graveler’s entire body is tinged with electricity due to the stones it likes to eat. It’s very quick-tempered. They eat rocks and often get into a scrap over them. The shock of Graveler smashing together causes a flash of light and a booming noise. Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.
75;graveler;Rock Pokémon;ordinary;generation-i;;;;two;10;1050;geodude;rock;ground;55;95;115;45;45;35;rock-head sturdy sand-veil;Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76;golem;Megaton Pokémon;ordinary;generation-i;;;;final;14;3000;graveler;rock;ground;80;120;130;55;65;45;rock-head sturdy sand-veil;Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
76;golem;Megaton Pokémon;ordinary;generation-vi;alolan;;;final;17;3160;graveler;rock;eletric;80;120;130;55;65;45;magnet-pull sturdy galvanize;Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air. It detonates its own body. The power from that explosion can propel it up steep mountain paths with amazing speed. Once a year, this Pokémon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.
77;ponyta;Unique Horse Pokémon;ordinary;generation-viii;galarian;;;one;10;300;nothing;psychic;none;50;85;55;65;65;90;run-away pastel-veil anticipation;It can't run properly when it's newly born. As it races around with others of its kind, its legs grow stronger. Its legs grow strong while it chases after its parents. It runs all day in fields and on mountains.
77;ponyta;Fire Horse Pokémon;ordinary;generation-i;;;;one;10;300;nothing;fire;none;50;85;55;65;65;90;run-away flash-fire flame-body;Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78;rapidash;Unique Horse Pokémon;ordinary;generation-viii;galarian;;;final;17;950;ponyta;psychic;fairy;65;100;70;80;80;105;run-away pastel-veil anticipation;It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow. Fiery mane aglow, Rapidash darts like an arrow across the land. This prodigiously swift creature can traverse the vast region of Hisui in a day and a half. This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.
78;rapidash;Fire Horse Pokémon;ordinary;generation-i;;;;final;17;950;ponyta;fire;none;65;100;70;80;80;105;run-away flash-fire flame-body;Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.
79;slowpoke;Dopey Pokémon;ordinary;generation-vii;galarian;;;one;12;360;nothing;psychic;none;90;65;65;40;40;15;gluttony own-tempo regenerator;Although this Pokémon is normally zoned out, its expression abruptly sharpens on occasion. The cause for this seems to lie in Slowpoke's diet. When this Pokémon's tail is soaked in water, sweetness seeps from it. Slowpoke uses this trait to lure in and fish up other Pokémon.
79;slowpoke;Dopey Pokémon;ordinary;generation-i;;;;one;12;360;nothing;water;psychic;90;65;65;40;40;15;oblivious own-tempo regenerator;Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80;slowbro;Hermit Crab Pokémon;ordinary;generation-vii;galarian;;;final;16;705;slowpoke;poison;psychic;95;100;95;100;70;30;quick-draw own-tempo regenerator;Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream. Being bitten by a Shellder shocked this Pokémon into standing on two legs. If the Shellder lets go, it seems Slowbro will turn back into a Slowpoke.
80;slowbro;Hermit Crab Pokémon;ordinary;generation-i;;;;final;16;785;slowpoke;water;psychic;95;75;110;100;80;30;oblivious own-tempo regenerator;The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
80;slowbro;Hermit Crab Pokémon;mega-evolution;generation-vi;;;;final;20;1200;slowbro;water;psychic;95;75;180;130;80;30;shell-armor;The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
